,UNICEF GLOBAL DATABASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Child Mortality Estimates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regional and global under-five mortality rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates generated by the UN Inter-agency Group for Child Mortality Estimation (UN IGME) in 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downloaded from http://data.unicef.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last update: 19 September 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates of under-five mortality rate by UNICEF region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe and Central Asia,Median,46.447249,46.095271,46.038358,45.939089,45.502626,44.648846,43.377422,41.76195,39.864966,37.785425,35.608662,33.415004,31.281402,29.246241,27.343514,25.578215,23.957044,22.477333,21.153625,19.980982,18.949681,18.022164,17.159161,16.327467,15.51295,14.71703,13.963111,13.284371,12.672179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe and Central Asia,Upper,48.00326,47.643968,47.611488,47.517677,47.116084,46.288164,45.022552,43.362614,41.451638,39.330641,37.118781,34.938409,32.813303,30.807026,28.926917,27.172954,25.567245,24.095148,22.777077,21.554229,20.455519,19.483015,18.582731,17.736764,16.909134,16.154874,15.483477,14.906076,14.431801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,Lower,10.430248,9.963422,9.473669,8.9641,8.437166,7.925335,7.457506,7.04714,6.70209,6.410053,6.160554,5.938801,5.734103,5.539767,5.354605,5.181621,5.022547,4.868055,4.717438,4.571043,4.43491,4.311178,4.200905,4.107317,4.02499,3.948839,3.866534,3.77064,3.659776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,Median,10.493589,10.024925,9.533667,9.018034,8.491794,7.976949,7.504433,7.092844,6.743462,6.44954,6.197683,5.974966,5.769121,5.573327,5.387412,5.2144,5.053392,4.89856,4.746464,4.599927,4.463397,4.338903,4.229218,4.134636,4.053022,3.980563,3.911651,3.839026,3.758532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,Upper,10.560053,10.089715,9.59701,9.076898,8.549048,8.030979,7.553139,7.138345,6.785545,6.490118,6.237512,6.013985,5.807377,5.608877,5.421748,5.247938,5.085393,4.930922,4.777201,4.630326,4.493175,4.368166,4.259063,4.163947,4.082643,4.014922,3.960618,3.915058,3.875427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,Lower,91.926108,90.74983,89.650704,88.496451,87.410663,85.804054,84.002085,82.181821,80.224893,77.883265,75.436124,72.84563,70.165079,67.447951,64.998798,62.102688,59.526408,57.032388,54.752514,52.259591,50.328498,47.998723,46.064898,44.257846,42.613506,41.101279,39.675597,38.284231,37.016839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,Median,93.213215,91.987164,90.80617,89.61493,88.510939,86.888495,85.053263,83.222746,81.228736,78.873637,76.412595,73.805599,71.104476,68.379422,65.915655,63.009022,60.427914,57.917597,55.645309,53.168308,51.27659,48.980279,47.118654,45.397297,43.824173,42.386121,41.074705,39.796523,38.638372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,Upper,94.699659,93.401025,92.15363,90.910877,89.795365,88.148375,86.290654,84.445516,82.433538,80.056594,77.574721,74.94197,72.228562,69.49183,67.032368,64.112702,61.550857,59.056768,56.805741,54.368423,52.537634,50.309049,48.565616,46.984582,45.613719,44.406379,43.381757,42.384132,41.517927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates of under-five mortality rate by Sustainable Development Goal region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Name,Uncertainty bounds*,1990.5,1991.5,1992.5,1993.5,1994.5,1995.5,1996.5,1997.5,1998.5,1999.5,2000.5,2001.5,2002.5,2003.5,2004.5,2005.5,2006.5,2007.5,2008.5,2009.5,2010.5,2011.5,2012.5,2013.5,2014.5,2015.5,2016.5,2017.5,2018.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
